stock_name,buy_signal,sell_signal,last_buy_sell_date,total_profit_loss,initial_price,final_price,total_difference_stock
RELIANCE.NS,False,True,2024-07-23 00:00:00+05:30,18939.80583405587,26.59461212158203,2745.050048828125,2718.455436706543
LT.NS,False,True,2024-10-03 00:00:00+05:30,33053.65821781197,30.169174194335938,3555.050048828125,3524.880874633789
ABB.NS,True,False,2024-10-08 00:00:00+05:30,72548.86893538949,7.3760175704956055,8570.5,8563.123982429504
AMBER.NS,True,False,2024-09-23 00:00:00+05:30,8906.951498776423,1241.516845703125,5145.39990234375,3903.883056640625
INFY.NS,False,True,2024-10-01 00:00:00+05:30,4658.453692826771,79.2689208984375,1958.9000244140625,1879.631103515625
TCS.NS,False,True,2024-09-19 00:00:00+05:30,13763.803223387937,29.46249008178711,4126.58251953125,4097.120029449463
ICICIBANK.NS,False,True,2024-10-07 00:00:00+05:30,5746.729146499406,17.8314151763916,1231.75,1213.9185848236084
SBIN.NS,False,True,2024-08-05 00:00:00+05:30,8294.28626301165,15.844799995422363,805.1500244140625,789.3052244186401
BHARTIARTL.NS,False,True,2024-10-07 00:00:00+05:30,22369.666633073306,14.535551071166992,1695.5999755859375,1681.0644245147705
ASIANPAINT.NS,False,True,2024-10-04 00:00:00+05:30,13140.386225090493,16.38035011291504,3039.14990234375,3022.769552230835
BAJAJ-AUTO.NS,False,True,2024-07-03 00:00:00+05:30,27161.62053880252,83.00741577148438,11899.2998046875,11816.292388916016
HEROMOTOCO.NS,False,True,2024-10-01 00:00:00+05:30,3996.535299134633,152.02871704101562,5555.35009765625,5403.321380615234
MARUTI.NS,False,True,2023-10-05 00:00:00+05:30,21495.281167371755,141.27334594726562,12537.849609375,12396.576263427734
TITAN.NS,False,True,2024-10-04 00:00:00+05:30,24295.987239544214,6.919259071350098,3497.800048828125,3490.880789756775
ULTRACEMCO.NS,False,True,2024-07-22 00:00:00+05:30,16641.845288648576,282.5158996582031,11300.2998046875,11017.783905029297
WIPRO.NS,False,True,2024-10-09 00:00:00+05:30,1532.210933905454,83.15917205810547,549.5499877929688,466.3908157348633
HINDUNILVR.NS,False,True,2024-10-07 00:00:00+05:30,2186.809908981394,132.315673828125,2789.10009765625,2656.784423828125